name,n_elements,mean_atomic_number,mean_atomic_mass,mean_electronegativity,mean_ionization_energy,mean_electron_affinity,mean_covalent_radius,mean_vdw_radius,mean_boiling_point,mean_melting_point,mean_density
hMOF-10086,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10087,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10088,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10089,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-1009,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10090,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10091,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10092,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10093,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10094,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10095,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10096,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10097,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10098,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10099,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-101,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1010,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10100,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10101,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10102,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10103,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10104,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10105,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10106,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10107,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10108,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10109,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1011,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10110,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10111,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10112,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10113,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10114,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10115,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10116,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10117,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10118,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10119,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1012,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10120,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10121,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10122,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10123,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10124,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10125,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10126,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10127,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10128,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10129,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-1013,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10130,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10131,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10132,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10133,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10134,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10135,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10136,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10137,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10138,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10139,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1014,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10140,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10141,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10142,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10143,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10144,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10145,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10146,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10147,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10148,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10149,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-1015,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10150,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10151,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10152,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10153,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10154,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10155,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10156,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10157,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10158,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10159,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1016,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10160,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10161,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10162,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10163,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10164,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10165,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10166,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10167,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10168,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10169,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-1017,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10170,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10171,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10172,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10173,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10174,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10175,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10176,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10177,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10178,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10179,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-1018,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10180,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10181,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10182,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10183,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10184,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10185,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10186,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10187,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10188,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10189,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-1019,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10190,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10191,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10192,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10193,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10194,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10195,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10196,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10197,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10198,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10199,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-102,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1020,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10200,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10201,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10202,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10203,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10204,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10205,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10206,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10207,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10208,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10209,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1021,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10210,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10211,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10212,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10213,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10214,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10215,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10216,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10217,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10218,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
