filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,dataset
XALBOC_clean,12.16156,7.7526,11.87507,0.87192,1576.24,1807.78,0.0,0.0,0.6178,0.708551,0.0,Mn,Yes,Mn,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
RAVVUH_clean,17.18258,16.37707,17.18252,0.61117,1430.17,2340.05,0.0,0.0,0.7478,1.22355,0.0,Mg,Yes,Mg,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
EVAKOB_charged,13.10841,3.92348,13.10841,0.806398,1723.78,2137.62,0.0,0.0,0.6526,0.809278,0.0,Cu,No, ,charged,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
EBISEQ_clean,4.75207,3.13437,4.75207,1.32667,0.0,0.0,532.329,401.253,0.4718,0.355628,0.0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
XUDYEC_clean,6.34584,5.04991,6.34584,1.10902,1973.56,1779.55,0.0,0.0,0.6464,0.582857,0.0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
VAMYUG_clean,10.04314,6.94027,10.02007,0.640476,2529.62,3949.59,0.0,0.0,0.7656,1.19536,0.0,"Cu,Ni",Yes,"Cu,Ni",clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
RUBTAK05_clean,8.72137,3.8551,8.72137,1.62254,1653.9,1019.33,0.0,0.0,0.5676,0.349822,0.000123264,Zr,No, ,clean,Y,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
OGECOU_clean,6.21029,5.96321,6.17894,1.2702,1037.22,816.577,0.0,0.0,0.4898,0.385607,0.0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
ACAJOF_clean,6.86398,6.10482,6.86398,1.21871,1121.27,920.046,0.0,0.0,0.513,0.420936,0.0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
GOVWOF_clean,15.42527,11.20267,15.42527,0.794433,1878.77,2364.92,0.0,0.0,0.6966,0.876851,0.0,Mn,Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
CODSUL_clean,6.55692,3.55923,6.55642,1.27214,782.617,615.2,0.966661,0.759873,0.4932,0.387695,0.0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
CAVRAU_clean,8.06449,6.42877,8.06449,0.994088,1841.55,1852.5,0.0,0.0,0.6396,0.643404,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
cm501138g_si_003_clean,11.06733,2.94264,11.02516,1.58207,0.0,0.0,1205.96,762.265,0.5212,0.329442,0.0,Cu,No, ,clean,Y,N,Y,DISORDER,Y,YOZMEH,Y,13/02/2015,10.1021/cm501138g,"1 SI, 1 Structure",YOZMEH,,CoRE-MOF-2019-ASR
UMABIV_clean,5.68466,5.22417,5.68466,1.23934,1941.33,1566.43,0.0,0.0,0.6118,0.493651,0.0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
SADLEQ_clean,7.11187,6.8054,7.11187,1.50504,1508.7,1002.44,0.0,0.0,0.5702,0.378862,0.0,Nd,Yes,Nd,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
CAXTEC_clean,10.87616,5.2726,10.87615,0.837152,1928.01,2303.05,0.0,0.0,0.6672,0.796988,0.0,Al,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
ALICAA_clean,12.98786,3.46699,12.98786,1.43218,894.164,624.337,203.647,142.194,0.5692,0.397436,0.0,"W,Zn",No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
OMIPAD_clean,5.24341,3.62169,5.16602,1.1791,539.772,457.781,0.0,0.0,0.4566,0.387243,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
BONNIC_clean,4.09843,3.03382,4.09843,1.41859,0.0,0.0,241.04,169.916,0.4484,0.316089,0.0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
SERCEZ_clean,10.07441,8.56931,10.07441,0.708098,2363.51,3337.82,0.0,0.0,0.7424,1.04844,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
QOSJUF_clean,6.12081,5.11749,6.09552,1.41231,1533.09,1085.52,0.0,0.0,0.5616,0.397647,0.0,"Ho,Cu",Yes,"Ho,Cu",clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
XALTOV_clean,12.17047,3.00948,12.16768,1.10281,0.0,0.0,1597.06,1448.18,0.6382,0.578705,0.0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
LAFROB_manual,12.50276,5.7361,12.50276,0.712849,1639.29,2299.63,251.853,353.304,0.6904,0.968508,0.0,Co,No, ,manual,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
DOGZIJ_clean,5.26678,3.36062,5.26678,1.20751,825.332,683.499,0.0,0.0,0.5016,0.4154,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
GIKMOD05_clean,3.93179,2.53368,3.92903,1.89878,0.0,0.0,279.622,147.264,0.4476,0.235731,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
QILBUK_clean,12.94588,7.66866,12.94473,0.72242,1683.33,2330.13,0.0,0.0,0.6926,0.958722,0.0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
LAJDUV03_charged,2.79651,2.54844,2.78519,1.59533,0.0,0.0,0.0,0.0,0.412,0.258255,0.0,Ti,No, ,charged,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
HOVJIN_clean,3.66657,2.56403,3.64598,2.32634,0.0,0.0,96.8261,41.6217,0.349,0.150021,0.0,"Ag,Er",Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
IDEYOF_clean,10.03153,6.17304,10.03153,0.42881,2478.11,5779.04,0.0,0.0,0.8074,1.88288,0.0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
BEPNIV_clean,10.32219,10.19883,10.32219,0.893387,1335.35,1494.71,0.0,0.0,0.6494,0.726897,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
MEBMEM01_clean,4.99521,4.76904,4.99521,2.65468,694.411,261.58,0.0,0.0,0.4228,0.159266,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
VUQKAU01_clean,4.81422,4.24964,4.81422,1.04625,1425.24,1362.23,0.0,0.0,0.5584,0.533714,0.0,Mn,Yes,Mn,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
KIVSUF_clean,3.82758,2.53052,3.81942,1.88051,0.0,0.0,106.707,56.7437,0.3802,0.20218,0.0,Cu,Yes,Cu,clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
WUDZOM_clean,9.28496,5.45388,9.18547,2.06825,1601.94,774.537,0.0,0.0,0.6036,0.291841,0.0,Zn,Yes,Zn,clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
PONPOX_clean,4.5617,3.77666,4.56065,2.3716,853.999,360.095,0.0,0.0,0.4606,0.194215,0.0,Ga,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
XANKOO_clean,10.98297,5.31916,10.97484,0.745521,2263.49,3036.11,6.87382,9.22015,0.704,0.944306,0.0,"Zn,Mn",Yes,"Zn,Mn",clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
XOTSIK_clean,8.84143,7.37067,8.64635,0.961303,1776.26,1847.76,0.0,0.0,0.6086,0.633099,0.0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
YIXFIW_clean,4.72359,3.58415,4.71426,1.46617,963.816,657.369,0.0,0.0,0.4922,0.335704,0.0,Sm,No, ,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
IWELIG_clean,4.69268,4.51959,4.68546,1.86097,534.218,287.064,156.241,83.9569,0.4064,0.218381,0.0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
GAMTEU_clean,4.96917,3.20315,4.96917,1.42337,0.0,0.0,741.895,521.226,0.5212,0.366174,0.0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
GASTIG_clean,5.0819,3.79248,5.0819,1.32659,966.447,728.518,0.0,0.0,0.4748,0.357909,0.0,Mn,Yes,Mn,clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
KOQLUZ_clean,5.1448,3.57576,5.11859,3.8283,1063.95,277.916,0.0,0.0,0.4726,0.123449,5.22e-05,"W,Cu,Si",Yes,"W,Cu",clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
ja500618z_si_004_clean,4.32521,2.50108,4.32521,1.36267,0.0,0.0,373.997,274.458,0.5108,0.374852,0.0,Mn,No, ,clean,Y,N,Y,,Y,YUKTUU03,Y,26/11/2014,10.1021/ja500618z,"1 SI, 1 Structure",YUKTUU03,,CoRE-MOF-2019-ASR
XIPHIN_clean,3.919,2.93663,3.919,1.55745,0.0,0.0,431.436,277.014,0.5236,0.33619,0.0,Fe,No, ,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
ZOHBOP_clean,4.02467,3.19785,4.02467,1.80927,0.0,0.0,298.849,165.177,0.4656,0.257342,0.0,Tb,No, ,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
IBICIH_clean,9.99905,9.84285,9.99905,1.06849,1087.54,1017.83,0.0,0.0,0.5632,0.527098,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
IJUJEE_clean,5.7329,3.14927,5.59608,2.00759,0.0,0.0,597.221,297.481,0.4248,0.211597,0.0,"Er,Co",Yes,Er,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
LENGES_clean,4.73185,4.27793,4.71422,2.22846,630.792,283.061,0.0,0.0,0.3702,0.166123,0.0,Cd,Yes,Cd,clean,Y,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
NAKLIW_clean,5.07535,4.01579,4.60929,1.15907,1720.4,1484.3,0.0,0.0,0.6208,0.535603,0.0,Zn,Yes,Zn,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
