name,num_nodes,num_edges,graph_density,status
hMOF-10072,213,474,0.0105,ok
hMOF-10073,71,158,0.0318,ok
hMOF-10074,142,316,0.0158,ok
hMOF-10075,71,160,0.0322,ok
hMOF-10076,142,320,0.016,ok
hMOF-10077,213,484,0.0107,ok
hMOF-10078,71,160,0.0322,ok
hMOF-10079,142,320,0.016,ok
hMOF-1008,55,120,0.0404,ok
hMOF-10080,71,160,0.0322,ok
hMOF-10081,142,320,0.016,ok
hMOF-10082,71,158,0.0318,ok
hMOF-10083,142,316,0.0158,ok
hMOF-10084,71,160,0.0322,ok
hMOF-10085,142,320,0.016,ok
hMOF-10086,71,160,0.0322,ok
hMOF-10087,142,320,0.016,ok
hMOF-10088,71,160,0.0322,ok
hMOF-10089,142,320,0.016,ok
hMOF-1009,72,154,0.0301,ok
hMOF-10090,213,508,0.0112,ok
hMOF-10091,71,158,0.0318,ok
hMOF-10092,142,316,0.0158,ok
hMOF-10093,71,162,0.0326,ok
hMOF-10094,142,324,0.0162,ok
hMOF-10095,71,162,0.0326,ok
hMOF-10096,142,324,0.0162,ok
hMOF-10097,213,514,0.0114,ok
hMOF-10098,92,200,0.0239,ok
hMOF-10099,184,400,0.0119,ok
hMOF-101,73,156,0.0297,ok
hMOF-1010,53,116,0.0421,ok
hMOF-10100,89,194,0.0248,ok
hMOF-10101,178,388,0.0123,ok
hMOF-10102,101,218,0.0216,ok
hMOF-10103,202,436,0.0107,ok
hMOF-10104,101,218,0.0216,ok
hMOF-10105,202,436,0.0107,ok
hMOF-10106,104,224,0.0209,ok
hMOF-10107,208,448,0.0104,ok
hMOF-10108,101,218,0.0216,ok
hMOF-10109,202,436,0.0107,ok
hMOF-1011,53,116,0.0421,ok
hMOF-10110,119,254,0.0181,ok
hMOF-10111,238,508,0.009,ok
hMOF-10112,137,296,0.0159,ok
hMOF-10113,274,592,0.0079,ok
hMOF-10114,137,302,0.0162,ok
hMOF-10115,107,236,0.0208,ok
hMOF-10116,214,472,0.0104,ok
hMOF-10117,143,302,0.0149,ok
hMOF-10118,143,302,0.0149,ok
hMOF-10119,179,374,0.0117,ok
hMOF-1012,106,232,0.0208,ok
hMOF-10120,125,266,0.0172,ok
hMOF-10121,143,308,0.0152,ok
hMOF-10122,83,182,0.0267,ok
hMOF-10123,166,364,0.0133,ok
hMOF-10124,95,206,0.0231,ok
hMOF-10125,190,412,0.0115,ok
hMOF-10126,79,174,0.0282,ok
hMOF-10127,158,348,0.014,ok
hMOF-10128,85,186,0.0261,ok
hMOF-10129,170,372,0.0129,ok
hMOF-1013,51,112,0.0439,ok
hMOF-10130,93,202,0.0236,ok
hMOF-10131,186,404,0.0117,ok
hMOF-10132,121,268,0.0185,ok
hMOF-10133,82,180,0.0271,ok
hMOF-10134,164,360,0.0135,ok
hMOF-10135,79,174,0.0282,ok
hMOF-10136,158,348,0.014,ok
hMOF-10137,76,168,0.0295,ok
hMOF-10138,152,336,0.0146,ok
hMOF-10139,80,176,0.0278,ok
hMOF-1014,102,224,0.0217,ok
hMOF-10140,160,352,0.0138,ok
hMOF-10141,78,172,0.0286,ok
hMOF-10142,156,344,0.0142,ok
hMOF-10143,77,170,0.029,ok
hMOF-10144,154,340,0.0144,ok
hMOF-10145,78,172,0.0286,ok
hMOF-10146,156,344,0.0142,ok
hMOF-10147,80,176,0.0278,ok
hMOF-10148,160,352,0.0138,ok
hMOF-10149,78,172,0.0286,ok
hMOF-1015,47,104,0.0481,ok
hMOF-10150,156,344,0.0142,ok
hMOF-10151,80,176,0.0278,ok
hMOF-10152,160,352,0.0138,ok
hMOF-10153,95,206,0.0231,ok
hMOF-10154,190,412,0.0115,ok
hMOF-10155,115,246,0.0188,ok
hMOF-10156,99,214,0.0221,ok
hMOF-10157,198,428,0.011,ok
hMOF-10158,134,298,0.0167,ok
hMOF-10159,134,290,0.0163,ok
hMOF-1016,94,208,0.0238,ok
hMOF-10160,155,340,0.0142,ok
hMOF-10161,120,256,0.0179,ok
hMOF-10162,127,300,0.0187,ok
hMOF-10163,131,280,0.0164,ok
hMOF-10164,151,318,0.014,ok
hMOF-10165,161,340,0.0132,ok
hMOF-10166,65,144,0.0346,ok
hMOF-10167,130,288,0.0172,ok
hMOF-10168,59,130,0.038,ok
hMOF-10169,118,260,0.0188,ok
hMOF-1017,49,108,0.0459,ok
hMOF-10170,59,132,0.0386,ok
hMOF-10171,118,264,0.0191,ok
hMOF-10172,59,130,0.038,ok
hMOF-10173,118,260,0.0188,ok
hMOF-10174,65,144,0.0346,ok
hMOF-10175,130,288,0.0172,ok
hMOF-10176,65,144,0.0346,ok
hMOF-10177,130,288,0.0172,ok
hMOF-10178,65,148,0.0356,ok
hMOF-10179,59,130,0.038,ok
hMOF-1018,98,216,0.0227,ok
hMOF-10180,118,264,0.0191,ok
hMOF-10181,65,148,0.0356,ok
hMOF-10182,130,296,0.0177,ok
hMOF-10183,59,130,0.038,ok
hMOF-10184,118,260,0.0188,ok
hMOF-10185,71,162,0.0326,ok
hMOF-10186,59,130,0.038,ok
hMOF-10187,118,260,0.0188,ok
hMOF-10188,53,116,0.0421,ok
hMOF-10189,106,232,0.0208,ok
hMOF-1019,75,166,0.0299,ok
hMOF-10190,159,348,0.0139,ok
hMOF-10191,59,134,0.0392,ok
hMOF-10192,118,268,0.0194,ok
hMOF-10193,59,134,0.0392,ok
hMOF-10194,118,268,0.0194,ok
hMOF-10195,65,144,0.0346,ok
hMOF-10196,130,294,0.0175,ok
hMOF-10197,89,192,0.0245,ok
hMOF-10198,178,384,0.0122,ok
hMOF-10199,89,190,0.0243,ok
hMOF-102,146,312,0.0147,ok
hMOF-1020,57,128,0.0401,ok
hMOF-10200,80,178,0.0282,ok
hMOF-10201,80,172,0.0272,ok
hMOF-10202,89,190,0.0243,ok
hMOF-10203,113,240,0.019,ok
hMOF-10204,107,232,0.0205,ok
hMOF-10205,113,250,0.0198,ok
hMOF-10206,101,214,0.0212,ok
hMOF-10207,113,238,0.0188,ok
hMOF-10208,122,256,0.0173,ok
hMOF-10209,131,280,0.0164,ok
hMOF-1021,114,256,0.0199,ok
hMOF-10210,140,292,0.015,ok
hMOF-10211,146,306,0.0145,ok
hMOF-10212,67,146,0.033,ok
hMOF-10213,134,292,0.0164,ok
hMOF-10214,73,158,0.0301,ok
hMOF-10215,69,150,0.032,ok
hMOF-10216,138,300,0.0159,ok
hMOF-10217,85,186,0.0261,ok
hMOF-10218,71,154,0.031,ok
hMOF-10219,109,240,0.0204,ok
hMOF-1022,85,188,0.0263,ok
hMOF-10220,89,196,0.025,ok
hMOF-10221,99,218,0.0225,ok
hMOF-10222,109,240,0.0204,ok
hMOF-10223,119,262,0.0187,ok
hMOF-10224,74,166,0.0307,ok
hMOF-10225,148,332,0.0153,ok
hMOF-10226,68,150,0.0329,ok
hMOF-10227,136,300,0.0163,ok
hMOF-10228,67,146,0.033,ok
hMOF-10229,134,292,0.0164,ok
hMOF-1023,75,166,0.0299,ok
hMOF-10230,73,160,0.0304,ok
hMOF-10231,74,164,0.0304,ok
hMOF-10232,148,328,0.0151,ok
hMOF-10233,67,146,0.033,ok
hMOF-10234,134,292,0.0164,ok
hMOF-10235,62,136,0.036,ok
hMOF-10236,124,272,0.0178,ok
hMOF-10237,76,166,0.0291,ok
hMOF-10238,152,336,0.0146,ok
hMOF-10239,72,164,0.0321,ok
hMOF-1024,85,188,0.0263,ok
hMOF-10240,144,330,0.016,ok
hMOF-10241,65,142,0.0341,ok
hMOF-10242,130,284,0.0169,ok
hMOF-10243,83,178,0.0262,ok
hMOF-10244,91,196,0.0239,ok
hMOF-10245,87,196,0.0262,ok
hMOF-10246,87,188,0.0251,ok
hMOF-10247,75,162,0.0292,ok
hMOF-10248,114,242,0.0188,ok
hMOF-10249,108,228,0.0197,ok
hMOF-1025,48,106,0.047,ok
hMOF-10250,101,214,0.0212,ok
hMOF-10251,115,242,0.0185,ok
hMOF-10252,94,200,0.0229,ok
hMOF-10253,99,210,0.0216,ok
hMOF-10254,83,176,0.0259,ok
hMOF-10255,99,210,0.0216,ok
hMOF-10256,99,210,0.0216,ok
hMOF-10257,75,166,0.0299,ok
hMOF-10258,150,332,0.0149,ok
hMOF-10259,79,174,0.0282,ok
hMOF-1026,96,212,0.0232,ok
hMOF-10260,158,348,0.014,ok
hMOF-10261,79,174,0.0282,ok
hMOF-10262,158,348,0.014,ok
hMOF-10263,237,522,0.0093,ok
hMOF-10264,79,174,0.0282,ok
hMOF-10265,158,348,0.014,ok
hMOF-10266,237,522,0.0093,ok
hMOF-10267,79,176,0.0286,ok
hMOF-10268,158,352,0.0142,ok
hMOF-10269,79,174,0.0282,ok
hMOF-1027,49,108,0.0459,ok
hMOF-10270,158,348,0.014,ok
hMOF-10271,237,522,0.0093,ok
hMOF-10272,75,174,0.0314,ok
hMOF-10273,79,174,0.0282,ok
hMOF-10274,158,348,0.014,ok
hMOF-10275,79,186,0.0302,ok
hMOF-10276,158,372,0.015,ok
hMOF-10277,237,562,0.01,ok
hMOF-10278,79,180,0.0292,ok
hMOF-10279,158,360,0.0145,ok
hMOF-1028,98,216,0.0227,ok
hMOF-10280,237,548,0.0098,ok
hMOF-10281,79,178,0.0289,ok
hMOF-10282,158,356,0.0144,ok
hMOF-10283,237,542,0.0097,ok
hMOF-10284,75,174,0.0314,ok
hMOF-10285,79,180,0.0292,ok
hMOF-10286,158,360,0.0145,ok
hMOF-10287,237,556,0.0099,ok
hMOF-10288,79,176,0.0286,ok
hMOF-10289,158,352,0.0142,ok
hMOF-1029,49,106,0.0451,ok
hMOF-10290,75,174,0.0314,ok
hMOF-10291,150,348,0.0156,ok
hMOF-10292,225,574,0.0114,ok
hMOF-10293,79,182,0.0295,ok
hMOF-10294,158,364,0.0147,ok
hMOF-10295,109,240,0.0204,ok
hMOF-10296,218,480,0.0101,ok
hMOF-10297,99,220,0.0227,ok
hMOF-10298,123,278,0.0185,ok
hMOF-10299,115,246,0.0188,ok
hMOF-103,77,164,0.028,ok
hMOF-1030,98,212,0.0223,ok
hMOF-10300,127,280,0.0175,ok
hMOF-10301,121,258,0.0178,ok
hMOF-10302,242,516,0.0088,ok
hMOF-10303,156,346,0.0143,ok
hMOF-10304,156,328,0.0136,ok
hMOF-10305,99,218,0.0225,ok
hMOF-10306,198,436,0.0112,ok
hMOF-10307,93,206,0.0241,ok
hMOF-10308,105,226,0.0207,ok
hMOF-10309,210,452,0.0103,ok
hMOF-1031,50,110,0.0449,ok
hMOF-10310,159,350,0.0139,ok
hMOF-10311,149,328,0.0149,ok
hMOF-10312,155,342,0.0143,ok
hMOF-10313,169,372,0.0131,ok
hMOF-10314,189,416,0.0117,ok
hMOF-10315,92,204,0.0244,ok
hMOF-10316,184,408,0.0121,ok
hMOF-10317,82,182,0.0274,ok
hMOF-10318,84,188,0.027,ok
hMOF-10319,168,376,0.0134,ok
hMOF-1032,50,110,0.0449,ok
hMOF-10320,85,186,0.0261,ok
hMOF-10321,86,188,0.0257,ok
hMOF-10322,172,376,0.0128,ok
hMOF-10323,97,210,0.0226,ok
hMOF-10324,194,420,0.0112,ok
hMOF-10325,291,634,0.0075,ok
hMOF-10326,88,192,0.0251,ok
hMOF-10327,176,384,0.0125,ok
hMOF-10328,86,188,0.0257,ok
hMOF-10329,172,376,0.0128,ok
hMOF-1033,100,220,0.0222,ok
hMOF-10330,86,194,0.0265,ok
hMOF-10331,172,388,0.0132,ok
hMOF-10332,127,280,0.0175,ok
hMOF-10333,142,300,0.015,ok
hMOF-10334,152,320,0.0139,ok
hMOF-10335,156,328,0.0136,ok
hMOF-10336,135,290,0.016,ok
hMOF-10337,142,306,0.0153,ok
hMOF-10338,179,380,0.0119,ok
hMOF-10339,169,354,0.0125,ok
hMOF-1034,48,106,0.047,ok
hMOF-10340,99,218,0.0225,ok
hMOF-10341,198,436,0.0112,ok
hMOF-10342,99,220,0.0227,ok
hMOF-10343,198,440,0.0113,ok
hMOF-10344,99,218,0.0225,ok
hMOF-10345,198,436,0.0112,ok
hMOF-10346,85,188,0.0263,ok
hMOF-10347,170,376,0.0131,ok
hMOF-10348,99,218,0.0225,ok
hMOF-10349,198,436,0.0112,ok
hMOF-1035,96,212,0.0232,ok
hMOF-10350,99,218,0.0225,ok
hMOF-10351,198,436,0.0112,ok
hMOF-10352,99,222,0.0229,ok
hMOF-10353,198,444,0.0114,ok
hMOF-10354,71,166,0.0334,ok
hMOF-10355,142,332,0.0166,ok
hMOF-10356,85,192,0.0269,ok
hMOF-10357,99,224,0.0231,ok
hMOF-10358,198,448,0.0115,ok
hMOF-10359,297,676,0.0077,ok
hMOF-1036,39,88,0.0594,ok
hMOF-10360,99,222,0.0229,ok
hMOF-10361,198,444,0.0114,ok
hMOF-10362,99,222,0.0229,ok
hMOF-10363,198,444,0.0114,ok
hMOF-10364,99,222,0.0229,ok
hMOF-10365,198,444,0.0114,ok
hMOF-10366,99,226,0.0233,ok
hMOF-10367,198,452,0.0116,ok
hMOF-10368,99,220,0.0227,ok
hMOF-10369,198,440,0.0113,ok
hMOF-1037,78,176,0.0293,ok
hMOF-10370,99,220,0.0227,ok
hMOF-10371,198,440,0.0113,ok
hMOF-10372,92,202,0.0241,ok
hMOF-10373,124,266,0.0174,ok
hMOF-10374,115,248,0.0189,ok
hMOF-10375,135,296,0.0164,ok
hMOF-10376,270,592,0.0082,ok
hMOF-10377,150,320,0.0143,ok
hMOF-10378,300,640,0.0071,ok
hMOF-10379,189,404,0.0114,ok
hMOF-1038,49,108,0.0459,ok
hMOF-10380,378,808,0.0057,ok
hMOF-10381,148,314,0.0144,ok
hMOF-10382,113,248,0.0196,ok
hMOF-10383,119,258,0.0184,ok
hMOF-10384,238,516,0.0091,ok
hMOF-10385,121,262,0.018,ok
hMOF-10386,107,232,0.0205,ok
hMOF-10387,107,236,0.0208,ok
hMOF-10388,189,426,0.012,ok
hMOF-10389,209,474,0.0109,ok
hMOF-1039,49,108,0.0459,ok
hMOF-10390,239,552,0.0097,ok
hMOF-10391,118,258,0.0187,ok
hMOF-10392,236,516,0.0093,ok
hMOF-10393,113,246,0.0194,ok
hMOF-10394,111,244,0.02,ok
hMOF-10395,222,488,0.0099,ok
hMOF-10396,114,248,0.0193,ok
hMOF-10397,228,496,0.0096,ok
hMOF-10398,107,234,0.0206,ok
hMOF-10399,214,468,0.0103,ok
hMOF-104,69,148,0.0315,ok
hMOF-1040,98,216,0.0227,ok
hMOF-10400,114,254,0.0197,ok
hMOF-10401,228,508,0.0098,ok
hMOF-10402,129,280,0.017,ok
hMOF-10403,258,560,0.0084,ok
hMOF-10404,387,840,0.0056,ok
hMOF-10405,114,248,0.0193,ok
hMOF-10406,228,496,0.0096,ok
hMOF-10407,112,244,0.0196,ok
hMOF-10408,224,488,0.0098,ok
hMOF-10409,112,244,0.0196,ok
hMOF-1041,50,110,0.0449,ok
hMOF-10410,224,488,0.0098,ok
hMOF-10411,129,276,0.0167,ok
hMOF-10412,162,342,0.0131,ok
hMOF-10413,67,150,0.0339,ok
hMOF-10414,69,154,0.0328,ok
hMOF-10415,138,308,0.0163,ok
hMOF-10416,69,156,0.0332,ok
hMOF-10417,138,312,0.0165,ok
hMOF-10418,67,150,0.0339,ok
hMOF-10419,69,156,0.0332,ok
hMOF-1042,57,124,0.0388,ok
hMOF-10420,138,312,0.0165,ok
hMOF-10421,69,156,0.0332,ok
hMOF-10422,138,312,0.0165,ok
hMOF-10423,67,150,0.0339,ok
hMOF-10424,67,150,0.0339,ok
hMOF-10425,69,154,0.0328,ok
hMOF-10426,71,162,0.0326,ok
hMOF-10427,67,150,0.0339,ok
hMOF-10428,67,152,0.0344,ok
hMOF-10429,69,156,0.0332,ok
hMOF-1043,114,248,0.0193,ok
hMOF-10430,67,150,0.0339,ok
hMOF-10431,67,156,0.0353,ok
hMOF-10432,67,150,0.0339,ok
hMOF-10433,94,210,0.024,ok
hMOF-10434,99,220,0.0227,ok
hMOF-10435,103,222,0.0211,ok
hMOF-10436,97,210,0.0226,ok
hMOF-10437,100,216,0.0218,ok
hMOF-10438,115,256,0.0195,ok
hMOF-10439,109,246,0.0209,ok
hMOF-1044,57,124,0.0388,ok
hMOF-10440,123,262,0.0175,ok
hMOF-10441,131,278,0.0163,ok
hMOF-10442,121,264,0.0182,ok
hMOF-10443,157,330,0.0135,ok
hMOF-10444,148,314,0.0144,ok
hMOF-10445,157,342,0.014,ok
hMOF-10446,112,240,0.0193,ok
hMOF-10447,121,258,0.0178,ok
hMOF-10448,79,174,0.0282,ok
hMOF-10449,91,202,0.0247,ok
hMOF-1045,61,132,0.0361,ok
hMOF-10450,99,218,0.0225,ok
hMOF-10451,81,184,0.0284,ok
hMOF-10452,79,180,0.0292,ok
hMOF-10453,127,282,0.0176,ok
hMOF-10454,107,238,0.021,ok
hMOF-10455,157,352,0.0144,ok
hMOF-10456,75,170,0.0306,ok
hMOF-10457,150,340,0.0152,ok
hMOF-10458,81,180,0.0278,ok
hMOF-10459,78,172,0.0286,ok
hMOF-1046,49,108,0.0459,ok
hMOF-10460,80,180,0.0285,ok
hMOF-10461,75,168,0.0303,ok
hMOF-10462,74,164,0.0304,ok
hMOF-10463,74,164,0.0304,ok
hMOF-10464,73,162,0.0308,ok
hMOF-10465,76,168,0.0295,ok
hMOF-10466,78,178,0.0296,ok
hMOF-10467,91,198,0.0242,ok
hMOF-10468,91,198,0.0242,ok
hMOF-10469,103,222,0.0211,ok
hMOF-1047,98,216,0.0227,ok
hMOF-10470,101,220,0.0218,ok
hMOF-10471,137,298,0.016,ok
hMOF-10472,137,298,0.016,ok
hMOF-10473,132,290,0.0168,ok
hMOF-10474,102,222,0.0215,ok
hMOF-10475,149,314,0.0142,ok
hMOF-10476,107,230,0.0203,ok
hMOF-10477,147,310,0.0144,ok
hMOF-10478,57,128,0.0401,ok
hMOF-10479,43,98,0.0543,ok
hMOF-1048,61,132,0.0361,ok
hMOF-10480,86,196,0.0268,ok
hMOF-10481,43,98,0.0543,ok
hMOF-10482,86,196,0.0268,ok
hMOF-10483,57,128,0.0401,ok
hMOF-10484,43,98,0.0543,ok
hMOF-10485,86,196,0.0268,ok
hMOF-10486,43,98,0.0543,ok
hMOF-10487,86,196,0.0268,ok
hMOF-10488,57,128,0.0401,ok
hMOF-10489,114,256,0.0199,ok
hMOF-1049,122,264,0.0179,ok
hMOF-10490,43,98,0.0543,ok
hMOF-10491,43,98,0.0543,ok
hMOF-10492,43,98,0.0543,ok
hMOF-10493,86,196,0.0268,ok
hMOF-10494,57,132,0.0414,ok
hMOF-10495,57,132,0.0414,ok
hMOF-10496,43,98,0.0543,ok
hMOF-10497,86,196,0.0268,ok
hMOF-10498,43,98,0.0543,ok
hMOF-10499,43,98,0.0543,ok
hMOF-105,85,180,0.0252,ok
hMOF-1050,87,192,0.0257,ok
hMOF-10500,29,68,0.0837,ok
hMOF-10501,58,136,0.0411,ok
hMOF-10502,87,204,0.0273,ok
hMOF-10503,116,308,0.0231,ok
hMOF-10504,49,110,0.0468,ok
hMOF-10505,75,170,0.0306,ok
hMOF-10506,52,116,0.0437,ok
hMOF-10507,104,232,0.0217,ok
hMOF-10508,52,116,0.0437,ok
hMOF-10509,72,158,0.0309,ok
hMOF-1051,45,100,0.0505,ok
hMOF-10510,87,188,0.0251,ok
hMOF-10511,61,134,0.0366,ok
hMOF-10512,67,152,0.0344,ok
hMOF-10513,55,122,0.0411,ok
hMOF-10514,61,134,0.0366,ok
hMOF-10515,61,132,0.0361,ok
hMOF-10516,52,116,0.0437,ok
hMOF-10517,70,150,0.0311,ok
hMOF-10518,102,218,0.0212,ok
hMOF-10519,45,102,0.0515,ok
hMOF-1052,90,200,0.025,ok
hMOF-10520,90,204,0.0255,ok
hMOF-10521,49,110,0.0468,ok
hMOF-10522,98,220,0.0231,ok
hMOF-10523,61,136,0.0372,ok
hMOF-10524,51,114,0.0447,ok
hMOF-10525,49,110,0.0468,ok
hMOF-10526,53,120,0.0435,ok
hMOF-10527,63,140,0.0358,ok
hMOF-10528,107,238,0.021,ok
hMOF-10529,87,194,0.0259,ok
hMOF-1053,87,192,0.0257,ok
hMOF-10530,77,172,0.0294,ok
hMOF-10531,45,102,0.0515,ok
hMOF-10532,45,102,0.0515,ok
hMOF-10533,90,204,0.0255,ok
hMOF-10534,61,138,0.0377,ok
hMOF-10535,47,106,0.049,ok
hMOF-10536,47,108,0.05,ok
hMOF-10537,29,66,0.0813,ok
hMOF-10538,58,132,0.0399,ok
hMOF-10539,87,198,0.0265,ok
hMOF-1054,80,170,0.0269,ok
hMOF-10540,116,300,0.0225,ok
hMOF-10541,45,102,0.0515,ok
hMOF-10542,90,204,0.0255,ok
hMOF-10543,45,102,0.0515,ok
hMOF-10544,90,204,0.0255,ok
hMOF-10545,64,142,0.0352,ok
hMOF-10546,64,142,0.0352,ok
hMOF-10547,59,130,0.038,ok
hMOF-10548,47,106,0.049,ok
hMOF-10549,94,212,0.0243,ok
hMOF-1055,81,180,0.0278,ok
hMOF-10550,55,124,0.0418,ok
hMOF-10551,51,114,0.0447,ok
hMOF-10552,73,160,0.0304,ok
hMOF-10553,71,154,0.031,ok
hMOF-10554,99,212,0.0219,ok
hMOF-10555,50,112,0.0457,ok
hMOF-10556,92,204,0.0244,ok
hMOF-10557,92,198,0.0237,ok
hMOF-10558,127,270,0.0169,ok
hMOF-10559,87,190,0.0254,ok
hMOF-1056,75,160,0.0288,ok
hMOF-10560,131,278,0.0163,ok
hMOF-10561,73,158,0.0301,ok
hMOF-10562,73,158,0.0301,ok
hMOF-10563,69,154,0.0328,ok
hMOF-10564,138,308,0.0163,ok
hMOF-10565,67,150,0.0339,ok
hMOF-10566,134,300,0.0168,ok
hMOF-10567,201,450,0.0112,ok
hMOF-10568,67,150,0.0339,ok
hMOF-10569,134,300,0.0168,ok
hMOF-1057,95,200,0.0224,ok
hMOF-10570,201,450,0.0112,ok
hMOF-10571,69,154,0.0328,ok
hMOF-10572,138,308,0.0163,ok
hMOF-10573,67,150,0.0339,ok
hMOF-10574,134,300,0.0168,ok
hMOF-10575,201,450,0.0112,ok
hMOF-10576,69,154,0.0328,ok
hMOF-10577,138,308,0.0163,ok
hMOF-10578,67,150,0.0339,ok
hMOF-10579,134,300,0.0168,ok
hMOF-1058,65,140,0.0337,ok
hMOF-10580,201,454,0.0113,ok
hMOF-10581,67,150,0.0339,ok
hMOF-10582,134,300,0.0168,ok
hMOF-10583,201,450,0.0112,ok
hMOF-10584,67,154,0.0348,ok
hMOF-10585,134,308,0.0173,ok
hMOF-10586,201,462,0.0115,ok
hMOF-10587,69,154,0.0328,ok
hMOF-10588,138,308,0.0163,ok
hMOF-10589,67,154,0.0348,ok
hMOF-1059,130,280,0.0167,ok
hMOF-10590,134,308,0.0173,ok
hMOF-10591,201,466,0.0116,ok
hMOF-10592,67,154,0.0348,ok
hMOF-10593,134,308,0.0173,ok
hMOF-10594,69,158,0.0337,ok
hMOF-10595,138,316,0.0167,ok
hMOF-10596,67,154,0.0348,ok
hMOF-10597,134,308,0.0173,ok
hMOF-10598,201,466,0.0116,ok
hMOF-10599,67,152,0.0344,ok
hMOF-106,74,166,0.0307,ok
hMOF-1060,65,140,0.0337,ok
hMOF-10600,134,304,0.0171,ok
hMOF-10601,201,460,0.0114,ok
hMOF-10602,67,150,0.0339,ok
hMOF-10603,134,300,0.0168,ok
hMOF-10604,201,454,0.0113,ok
hMOF-10605,94,204,0.0233,ok
hMOF-10606,188,408,0.0116,ok
hMOF-10607,88,192,0.0251,ok
hMOF-10608,176,384,0.0125,ok
hMOF-10609,94,204,0.0233,ok
hMOF-1061,75,160,0.0288,ok
hMOF-10610,188,408,0.0116,ok
hMOF-10611,96,214,0.0235,ok
hMOF-10612,105,232,0.0212,ok
hMOF-10613,121,258,0.0178,ok
hMOF-10614,103,222,0.0211,ok
hMOF-10615,206,444,0.0105,ok
hMOF-10616,121,258,0.0178,ok
hMOF-10617,103,222,0.0211,ok
hMOF-10618,206,444,0.0105,ok
hMOF-10619,85,186,0.0261,ok
hMOF-1062,65,144,0.0346,ok
hMOF-10620,170,372,0.0129,ok
hMOF-10621,141,298,0.0151,ok
hMOF-10622,121,270,0.0186,ok
hMOF-10623,242,540,0.0093,ok
hMOF-10624,130,274,0.0163,ok
hMOF-10625,260,548,0.0081,ok
hMOF-10626,121,258,0.0178,ok
hMOF-10627,83,182,0.0267,ok
